id,event_type
17508,event_type 15
17508,event_type 11
17508,event_type 15
17508,event_type 11
17909,event_type 11
17648,event_type 15
17155,event_type 34
17155,event_type 20
17155,event_type 35
17155,event_type 34
17155,event_type 20
17155,event_type 35
17155,event_type 34
17155,event_type 20
17155,event_type 35
18500,event_type 34
18189,event_type 34
18189,event_type 35
18189,event_type 34
18189,event_type 35
16795,event_type 11
17756,event_type 11
17736,event_type 15
17758,event_type 1
17758,event_type 15
17758,event_type 11
17758,event_type 1
17758,event_type 15
17758,event_type 11
17758,event_type 1
17758,event_type 15
17758,event_type 11
17869,event_type 15
16917,event_type 15
17425,event_type 11
17425,event_type 15
17425,event_type 11
17425,event_type 15
18486,event_type 11
18486,event_type 15
18486,event_type 11
18486,event_type 15
17066,event_type 15
18296,event_type 15
18376,event_type 15
17963,event_type 1
17963,event_type 15
17963,event_type 11
17963,event_type 1
17963,event_type 15
17963,event_type 11
17963,event_type 1
17963,event_type 15
17963,event_type 11
17645,event_type 15
17950,event_type 15
17731,event_type 15
18077,event_type 29
17530,event_type 11
16725,event_type 11
16681,event_type 11
16675,event_type 11
17329,event_type 18
17329,event_type 11
17329,event_type 18
17329,event_type 11
17856,event_type 11
17856,event_type 13
17856,event_type 11
17856,event_type 13
17505,event_type 13
17505,event_type 11
17505,event_type 13
17505,event_type 11
17062,event_type 11
17062,event_type 13
17062,event_type 11
17062,event_type 13
17852,event_type 11
17379,event_type 11
17209,event_type 11
16741,event_type 15
17949,event_type 11
17434,event_type 11
18407,event_type 15
17867,event_type 11
17867,event_type 15
17867,event_type 11
17867,event_type 15
17134,event_type 15
17833,event_type 15
17833,event_type 11
17833,event_type 15
17833,event_type 11
17931,event_type 15
17825,event_type 15
17557,event_type 15
17801,event_type 15
17540,event_type 11
17540,event_type 15
17540,event_type 11
17540,event_type 15
17749,event_type 15
18116,event_type 11
18116,event_type 15
18116,event_type 11
18116,event_type 15
18176,event_type 11
18176,event_type 15
18176,event_type 11
18176,event_type 15
17568,event_type 15
17358,event_type 34
17358,event_type 35
17358,event_type 34
17358,event_type 35
18421,event_type 34
18421,event_type 35
18421,event_type 34
18421,event_type 35
17751,event_type 35
17751,event_type 34
17751,event_type 35
17751,event_type 34
17647,event_type 35
17647,event_type 34
17647,event_type 35
17647,event_type 34
16763,event_type 35
17019,event_type 35
17019,event_type 34
17019,event_type 35
17019,event_type 34
18408,event_type 11
18388,event_type 11
18131,event_type 11
18249,event_type 11
17605,event_type 11
16724,event_type 11
17416,event_type 11
17853,event_type 11
16818,event_type 11
17533,event_type 54
17533,event_type 11
17533,event_type 54
17533,event_type 11
17448,event_type 11
17448,event_type 13
17448,event_type 11
17448,event_type 13
17567,event_type 14
17567,event_type 11
17567,event_type 14
17567,event_type 11
16865,event_type 54
16865,event_type 13
16865,event_type 11
16865,event_type 54
16865,event_type 13
16865,event_type 11
16865,event_type 54
16865,event_type 13
16865,event_type 11
16982,event_type 11
18544,event_type 11
18197,event_type 11
16899,event_type 11
18494,event_type 11
17643,event_type 11
17299,event_type 23
17706,event_type 11
17829,event_type 11
17474,event_type 20
17474,event_type 35
17474,event_type 20
17474,event_type 35
17974,event_type 15
17974,event_type 11
17974,event_type 15
17974,event_type 11
18496,event_type 15
16787,event_type 15
17727,event_type 15
18088,event_type 15
18081,event_type 11
17489,event_type 11
17489,event_type 14
17489,event_type 11
17489,event_type 14
