id,log_feature,volume
17508,feature 203,3
17508,feature 82,4
17508,feature 201,3
17508,feature 80,4
17508,feature 203,3
17508,feature 82,4
17508,feature 201,3
17508,feature 80,4
17508,feature 203,3
17508,feature 82,4
17508,feature 201,3
17508,feature 80,4
17508,feature 203,3
17508,feature 82,4
17508,feature 201,3
17508,feature 80,4
17909,feature 80,1
17648,feature 82,4
17155,feature 134,1
17155,feature 228,3
17155,feature 230,3
17155,feature 310,3
17155,feature 301,1
17155,feature 221,1
17155,feature 308,3
17155,feature 219,1
17155,feature 134,1
17155,feature 228,3
17155,feature 230,3
17155,feature 310,3
17155,feature 301,1
17155,feature 221,1
17155,feature 308,3
17155,feature 219,1
17155,feature 134,1
17155,feature 228,3
17155,feature 230,3
17155,feature 310,3
17155,feature 301,1
17155,feature 221,1
17155,feature 308,3
17155,feature 219,1
17155,feature 134,1
17155,feature 228,3
17155,feature 230,3
17155,feature 310,3
17155,feature 301,1
17155,feature 221,1
17155,feature 308,3
17155,feature 219,1
17155,feature 134,1
17155,feature 228,3
17155,feature 230,3
17155,feature 310,3
17155,feature 301,1
17155,feature 221,1
17155,feature 308,3
17155,feature 219,1
17155,feature 134,1
17155,feature 228,3
17155,feature 230,3
17155,feature 310,3
17155,feature 301,1
17155,feature 221,1
17155,feature 308,3
17155,feature 219,1
17155,feature 134,1
17155,feature 228,3
17155,feature 230,3
17155,feature 310,3
17155,feature 301,1
17155,feature 221,1
17155,feature 308,3
17155,feature 219,1
17155,feature 134,1
17155,feature 228,3
17155,feature 230,3
17155,feature 310,3
17155,feature 301,1
17155,feature 221,1
17155,feature 308,3
17155,feature 219,1
18500,feature 227,1
18500,feature 232,1
18500,feature 227,1
18500,feature 232,1
18189,feature 312,1
18189,feature 233,1
18189,feature 307,1
18189,feature 234,1
18189,feature 313,1
18189,feature 314,1
18189,feature 312,1
18189,feature 233,1
18189,feature 307,1
18189,feature 234,1
18189,feature 313,1
18189,feature 314,1
18189,feature 312,1
18189,feature 233,1
18189,feature 307,1
18189,feature 234,1
18189,feature 313,1
18189,feature 314,1
18189,feature 312,1
18189,feature 233,1
18189,feature 307,1
18189,feature 234,1
18189,feature 313,1
18189,feature 314,1
18189,feature 312,1
18189,feature 233,1
18189,feature 307,1
18189,feature 234,1
18189,feature 313,1
18189,feature 314,1
18189,feature 312,1
18189,feature 233,1
